norad_id,raan_deg,mean_anomaly_deg,Pc_n,cov_norm
90014,1.9565,131.3043,0.0,0.7093023255813953
90037,7.8261,245.2174,0.0,0.751937984496124
90039,7.8261,325.2174,0.0,0.751937984496124
90046,9.7826,216.5217,0.0,0.7674418604651163
90066,13.6957,239.1304,0.0,0.7945736434108528
90098,19.5652,353.0435,0.0,0.8062015503875969
90104,21.5217,204.3478,0.0,0.7945736434108528
90118,25.4348,346.9565,0.0,0.7635658914728682
90133,27.3913,198.2609,0.0,0.751937984496124
90136,29.3478,289.5652,0.0,0.7364341085271319
90147,31.3043,340.8696,0.0,0.7093023255813953
90154,33.2609,232.1739,0.0,0.6821705426356589
90164,35.2174,243.4783,0.0,0.6589147286821706
90213,45.0,260.0,0.0,0.5891472868217054
90219,46.9565,111.3043,0.0,0.5736434108527132
90232,48.913,242.6087,0.0,0.562015503875969
90251,52.8261,225.2174,0.0,0.5581395348837209
90289,62.6087,161.7391,0.0,0.5658914728682171
90312,66.5217,304.3478,0.0,0.5930232558139534
90327,70.4348,126.9565,1.338977e-09,0.6201550387596899
90348,74.3478,189.5652,0.0,0.6511627906976744
90357,76.3043,160.8696,0.0,0.6627906976744187
90400,86.087,297.3913,0.0,0.6511627906976744
90426,91.9565,171.3043,6.151524e-12,0.5697674418604651
90439,93.913,302.6087,0.0,0.5465116279069767
90454,97.8261,125.2174,0.0,0.4883720930232558
90456,97.8261,205.2174,0.0,0.4844961240310078
90463,99.7826,96.5217,1.312631e-06,0.4651162790697674
90469,101.7391,307.8261,0.0,0.4496124031007751
90480,103.6957,359.1304,0.0,0.437984496124031
90514,111.5217,164.3478,0.0,0.4186046511627906
90551,119.3478,89.5652,0.0,0.4457364341085271
90555,119.3478,249.5652,0.0,0.4457364341085271
90569,123.2609,32.1739,3.053129e-06,0.4457364341085271
90579,125.2174,43.4783,0.0,0.4418604651162791
90592,127.1739,174.7826,0.0,0.4457364341085271
90632,136.9565,191.3043,0.0,0.4302325581395349
90654,140.8696,293.913,0.0,0.4147286821705426
90669,144.7826,116.5217,7.701173e-12,0.3875968992248061
90696,150.6522,30.4348,0.0,0.3449612403100775
90697,150.6522,70.4348,1.110223e-16,0.3449612403100775
90716,154.5652,53.0435,0.0,0.3178294573643411
90734,158.4783,355.6522,0.0,0.2868217054263566
90737,158.4783,115.6522,5.253808e-11,0.2829457364341085
90744,160.4348,6.9565,0.0,0.2751937984496124
90771,166.3043,280.8696,0.0,0.2790697674418604
90777,168.2609,132.1739,0.0,0.2790697674418604
90780,168.2609,252.1739,0.0,0.2751937984496124
90799,172.1739,234.7826,0.0,0.2790697674418604
90804,174.1304,46.087,0.0,0.2790697674418604
90808,174.1304,206.087,0.0,0.2751937984496124
90826,178.0435,148.6957,0.0,0.3062015503875969
90829,180.0,240.0,0.0,0.3178294573643411
90838,181.9565,211.3043,0.0,0.3333333333333333
90851,183.913,342.6087,0.0,0.3488372093023256
90857,185.8696,193.913,0.0,0.3604651162790698
90858,185.8696,233.913,7.411873e-10,0.3604651162790698
90862,185.8696,33.913,0.0,0.3604651162790698
90878,189.7826,256.5217,0.0,0.3875968992248061
90890,191.7391,347.8261,0.0,0.4031007751937984
90891,191.7391,27.8261,0.0,0.4031007751937984
90910,197.6087,341.7391,0.0,0.4186046511627906
90928,201.5217,284.3478,0.0,0.4186046511627906
90931,201.5217,44.3478,5.57332e-13,0.4186046511627906
91000,217.1739,54.7826,0.0,0.4186046511627906
91003,217.1739,174.7826,9.65894e-15,0.4186046511627906
91007,217.1739,334.7826,4.775831e-06,0.4186046511627906
91010,219.1304,66.087,0.0,0.4186046511627906
91092,236.7391,207.8261,0.0,0.5
91096,236.7391,7.8261,8.883083e-11,0.5038759689922481
91098,236.7391,87.8261,0.0,0.5038759689922481
91104,238.6957,299.1304,2.342571e-14,0.5271317829457364
91120,242.6087,161.7391,0.0,0.5658914728682171
91132,244.5652,253.0435,0.0,0.5775193798449613
91149,248.4783,155.6522,0.0,0.5968992248062016
91154,250.4348,326.9565,0.0,0.624031007751938
91169,252.3913,178.2609,0.0,0.6550387596899224
91176,254.3478,69.5652,0.0,0.6744186046511629
91177,254.3478,109.5652,0.0,0.6744186046511629
91181,256.3043,240.8696,0.0,0.6744186046511629
91188,256.3043,160.8696,0.0,0.6782945736434108
91196,258.2609,92.1739,0.0,0.6705426356589148
91198,260.2174,143.4783,1.210122e-06,0.6821705426356589
91291,279.7826,336.5217,0.0,0.7906976744186047
91303,281.7391,67.8261,0.0,0.8023255813953488
91317,285.6522,210.4348,0.0,0.8294573643410853
91347,291.5217,244.3478,0.0,0.8372093023255813
91386,299.3478,249.5652,0.0,0.8372093023255813
91414,307.1739,174.7826,0.0,0.8372093023255813
91462,316.9565,151.3043,0.0,0.937984496124031
91471,318.913,122.6087,0.0,0.9496124031007752
91511,326.7391,167.8261,0.0,0.992248062015504
91514,328.6957,259.1304,0.0,0.9689922480620156
91520,328.6957,139.1304,0.0,0.9651162790697674
91533,332.6087,241.7391,0.0,0.9031007751937984
91541,334.5652,173.0435,0.0,0.8643410852713178
91556,336.5217,24.3478,0.0,0.8255813953488372
91613,350.2174,303.4783,0.0,0.6976744186046512
91617,350.2174,103.4783,0.0,0.6976744186046512
91642,356.087,297.3913,0.0,0.6976744186046512
