satellite_id,raan_deg,mean_anomaly_deg,Pc_n
90005,0.0,160.0,0.0
90008,0.0,280.0,0.0
90030,5.8696,353.913,6.77236e-15
90040,7.8261,5.2174,0.0
90052,9.7826,96.5217,0.0
90075,15.6522,210.4348,0.0
90115,23.4783,255.6522,0.0
90123,25.4348,186.9565,0.0
90125,25.4348,266.9565,0.0
90133,27.3913,198.2609,0.0
90144,29.3478,249.5652,1.602377e-09
90149,31.3043,60.8696,0.0
90176,37.1739,334.7826,0.0
90200,43.0435,128.6957,8.767082e-05
90225,46.9565,351.3043,0.0
90269,56.7391,167.8261,0.0
90270,56.7391,207.8261,0.0
90299,64.5652,173.0435,2.14556e-07
90305,64.5652,53.0435,0.0
90362,78.2609,332.1739,0.0
90379,82.1739,234.7826,1.810074e-11
90393,84.1304,46.087,0.0
90398,86.087,217.3913,0.0
90427,91.9565,211.3043,0.0
90442,95.8696,33.913,0.0
90455,97.8261,165.2174,0.0
90489,105.6522,330.4348,0.0
90494,105.6522,170.4348,0.0
90509,109.5652,353.0435,0.0
90518,111.5217,324.3478,0.0
90552,119.3478,129.5652,0.0
90554,119.3478,209.5652,1.22895e-09
90583,125.2174,203.4783,0.0
90604,131.087,237.3913,0.0
90612,131.087,197.3913,0.0
90633,136.9565,231.3043,0.0
90642,138.913,202.6087,0.0
90663,142.8261,265.2174,0.0
90688,148.6957,99.1304,0.0
90693,148.6957,299.1304,0.0
90705,152.6087,1.7391,0.0
90715,154.5652,13.0435,0.0
90729,156.5217,184.3478,7.659429e-13
90732,158.4783,275.6522,0.0
90755,162.3913,58.2609,0.0
90812,176.087,337.3913,0.0
90821,178.0435,308.6957,4.825029e-13
90829,180.0,240.0,0.0
90835,180.0,120.0,0.0
90848,183.913,222.6087,0.0
90856,185.8696,153.913,0.0
90874,189.7826,96.5217,0.0
90895,193.6957,159.1304,0.0
90978,211.3043,340.8696,0.0
91015,219.1304,266.087,0.0
91036,225.0,300.0,0.0
91040,225.0,100.0,0.0
91072,232.8261,185.2174,0.0
91073,232.8261,225.2174,0.0
91083,234.7826,236.5217,0.0
91087,234.7826,36.5217,0.0
91096,236.7391,7.8261,8.883083e-11
91102,238.6957,219.1304,0.0
91106,238.6957,19.1304,0.0
91139,246.5217,144.3478,0.0
91159,250.4348,166.9565,0.0
91162,252.3913,258.2609,0.0
91242,268.0435,348.6957,0.0
91250,270.0,280.0,0.0
91255,271.9565,91.3043,0.0
91258,271.9565,211.3043,0.0
91259,271.9565,251.3043,0.0
91274,275.8696,73.913,0.0
91285,277.8261,125.2174,0.0
91289,279.7826,256.5217,0.0
91345,291.5217,164.3478,0.0
91352,293.4783,55.6522,0.0
91360,295.4348,346.9565,0.0
91362,295.4348,66.9565,0.0
91365,295.4348,186.9565,0.0
91390,301.3043,20.8696,0.0
91412,305.2174,123.4783,1.267564e-10
91413,305.2174,163.4783,0.0
91428,309.1304,346.087,0.0
91432,311.087,117.3913,0.0
91439,311.087,37.3913,0.0
91471,318.913,122.6087,0.0
91474,318.913,242.6087,0.0
91482,320.8696,173.913,0.0
91483,320.8696,213.913,0.0
91490,322.8261,105.2174,0.0
91499,324.7826,76.5217,0.0
91506,326.7391,327.8261,0.0
91510,326.7391,127.8261,0.0
91511,326.7391,167.8261,0.0
91527,330.6522,30.4348,0.0
91543,334.5652,253.0435,0.0
91563,338.4783,275.6522,0.0
91615,350.2174,23.4783,0.0
91646,356.087,97.3913,0.0
